step,wallclock_time,tokens_processed,lr,train_loss,val_loss,val_perplexity
40,20.531178856268525,655360,2e-05,8.769370079040527,,
80,22.67324442602694,1310720,4e-05,7.5942535400390625,,
120,24.814039012417197,1966080,6e-05,6.3164567947387695,,
160,26.953996347263455,2621440,8e-05,5.142164707183838,,
200,29.05325586721301,3276800,0.0001,4.41534948348999,,
240,31.152009079232812,3932160,9.999909370328079e-05,4.043274879455566,,
280,33.248249808326364,4587520,9.999637484962868e-05,3.743736743927002,,
320,35.34462275914848,5242880,9.999184354855867e-05,3.5940873622894287,,
360,37.44081914797425,5898240,9.998549998259092e-05,3.577847719192505,,
400,39.53654181957245,6553600,9.997734440724333e-05,3.354617118835449,,
400,47.71856471709907,6553600,9.997734440724333e-05,,3.3903440952301027,29.676161939490026
440,49.81773714534938,7208960,9.996737715102132e-05,3.2740638256073,,
480,51.91314678452909,7864320,9.995559861540448e-05,3.206192970275879,,
520,54.00909534469247,8519680,9.994200927483052e-05,3.040954113006592,,
560,56.10624034702778,9175040,9.99266096766761e-05,3.04429292678833,,
600,58.2023406829685,9830400,9.99094004412348e-05,3.109908103942871,,
640,60.29839348420501,10485760,9.989038226169209e-05,2.9853878021240234,,
680,62.39783079177141,11141120,9.98695559040975e-05,2.9179935455322266,,
720,64.49265971966088,11796480,9.984692220733363e-05,2.9345340728759766,,
760,66.5876464433968,12451840,9.982248208308253e-05,2.9695305824279785,,
800,68.68172066472471,13107200,9.979623651578881e-05,2.864058256149292,,
800,68.8304853439331,13107200,9.979623651578881e-05,,2.8368144273757934,17.061328775172523
840,70.92638655565679,13762560,9.976818656262011e-05,2.8143439292907715,,
880,73.02498332597315,14417920,9.973833335342447e-05,2.8421382904052734,,
920,75.11938692815602,15073280,9.970667809068476e-05,2.775575637817383,,
960,77.21420369669795,15728640,9.96732220494704e-05,2.80410099029541,,
1000,79.30915626697242,16384000,9.963796657738579e-05,2.8326497077941895,,
1040,81.40306244418025,17039360,9.960091309451627e-05,2.667290687561035,,
1080,83.49763086251915,17694720,9.956206309337068e-05,2.636240243911743,,
1120,85.59158371388912,18350080,9.952141813882142e-05,2.5829544067382812,,
1160,87.68638717196882,19005440,9.94789798680413e-05,2.6710782051086426,,
1200,89.78092326782644,19660800,9.943474999043775e-05,2.669177293777466,,
1200,89.92981639318168,19660800,9.943474999043775e-05,,2.6215754747390747,13.757380926426555
1240,92.0262702871114,20316160,9.938873028758373e-05,2.628113269805908,,
1280,94.13151912018657,20971520,9.93409226131462e-05,2.6128897666931152,,
1320,96.23716113716364,21626880,9.929132889281127e-05,2.5414695739746094,,
1360,98.33875108323991,22282240,9.92399511242068e-05,2.6427364349365234,,
1400,100.43549899198115,22937600,9.91867913768218e-05,2.543048858642578,,
1440,102.53090008348227,23592960,9.913185179192317e-05,2.5632481575012207,,
1480,104.6296699848026,24248320,9.907513458246934e-05,2.6096506118774414,,
1520,106.72498605586588,24903680,9.901664203302126e-05,2.4517102241516113,,
1560,108.82298254407942,25559040,9.895637649965028e-05,2.495983839035034,,
1600,110.91829438321292,26214400,9.889434040984333e-05,2.4275903701782227,,
1600,111.06723555736244,26214400,9.889434040984333e-05,,2.464775323867798,11.760839475193547
1640,113.16766070015728,26869760,9.883053626240502e-05,2.3964996337890625,,
1680,115.26807237043977,27525120,9.876496662735711e-05,2.4244794845581055,,
1720,117.36407633498311,28180480,9.869763414583497e-05,2.444173812866211,,
1760,119.45953091979027,28835840,9.86285415299811e-05,2.4598255157470703,,
1800,121.5587041284889,29491200,9.855769156283603e-05,2.49715518951416,,
1840,123.65797087550163,30146560,9.848508709822608e-05,2.3670220375061035,,
1880,125.76134162209928,30801920,9.841073106064852e-05,2.4304463863372803,,
1920,127.86050881631672,31457280,9.833462644515367e-05,2.3497753143310547,,
1960,129.96603661961854,32112640,9.825677631722436e-05,2.370507001876831,,
2000,132.06844150274992,32768000,9.817718381265239e-05,2.272885322570801,,
2000,132.21796353533864,32768000,9.817718381265239e-05,,2.3673747777938843,10.669346082202676
2040,134.31669530458748,33423360,9.809585213741224e-05,2.3103253841400146,,
2080,136.41527939401567,34078720,9.801278456753194e-05,2.4869840145111084,,
2120,138.5133436601609,34734080,9.792798444896107e-05,2.363603115081787,,
2160,140.61256695911288,35389440,9.784145519743607e-05,2.29935884475708,,
2200,142.71401930600405,36044800,9.775320029834254e-05,2.341109275817871,,
2240,144.8184202220291,36700160,9.766322330657499e-05,2.2959065437316895,,
2280,146.9248352367431,37355520,9.757152784639347e-05,2.240821361541748,,
2320,149.03832405246794,38010880,9.74781176112778e-05,2.323212146759033,,
