step,wallclock_time,tokens_processed,lr,train_loss,val_loss,val_perplexity
80,17.416108200326562,655360,2e-05,8.283500671386719,,
160,19.803077379241586,1310720,4e-05,6.543218612670898,,
240,22.2035116199404,1966080,6e-05,4.9402360916137695,,
320,24.52565123140812,2621440,8e-05,4.291301727294922,,
400,26.846313090994954,3276800,0.0001,3.7479493618011475,,
480,29.16759685240686,3932160,9.999909370328079e-05,3.5397181510925293,,
560,31.511693315580487,4587520,9.999637484962868e-05,3.4516870975494385,,
640,33.868975929915905,5242880,9.999184354855867e-05,3.2147598266601562,,
720,36.22328291647136,5898240,9.998549998259092e-05,3.190789222717285,,
800,38.571496199816465,6553600,9.997734440724333e-05,3.0202715396881104,,
800,42.96100836992264,6553600,9.997734440724333e-05,,3.076914930343628,21.6913796472762
880,45.263904271647334,7208960,9.996737715102132e-05,2.9501700401306152,,
960,47.59816477447748,7864320,9.995559861540448e-05,2.7814226150512695,,
1040,49.94086201675236,8519680,9.994200927483052e-05,2.8578438758850098,,
1120,52.29134866781533,9175040,9.99266096766761e-05,2.868925094604492,,
1200,54.63540851511061,9830400,9.99094004412348e-05,2.7606968879699707,,
1280,56.98170159198344,10485760,9.989038226169209e-05,2.73514986038208,,
1360,59.330567091703415,11141120,9.98695559040975e-05,2.7263693809509277,,
1440,61.68084677681327,11796480,9.984692220733363e-05,2.6692569255828857,,
1520,64.0232080873102,12451840,9.982248208308253e-05,2.646800994873047,,
1600,66.30127183534205,13107200,9.979623651578881e-05,2.5774993896484375,,
1600,66.37638475559652,13107200,9.979623651578881e-05,,2.6755364179611205,14.520136612998776
1680,68.69363113120198,13762560,9.976818656262011e-05,2.7177019119262695,,
1760,71.04125690460205,14417920,9.973833335342447e-05,2.5328328609466553,,
1840,73.38965352252126,15073280,9.970667809068476e-05,2.5223231315612793,,
1920,75.73935821279883,15728640,9.96732220494704e-05,2.6358728408813477,,
2000,78.09442541003227,16384000,9.963796657738579e-05,2.4959137439727783,,
2080,80.44729050807655,17039360,9.960091309451627e-05,2.5552868843078613,,
2160,82.79725091531873,17694720,9.956206309337068e-05,2.5079751014709473,,
2240,85.15150567516685,18350080,9.952141813882142e-05,2.4350295066833496,,
2320,87.50142390467227,19005440,9.94789798680413e-05,2.4568722248077393,,
2400,89.83356070704758,19660800,9.943474999043775e-05,2.4152166843414307,,
2400,89.9063801318407,19660800,9.943474999043775e-05,,2.5008213758468627,12.19250447763295
2480,92.23168266005814,20316160,9.938873028758373e-05,2.428060293197632,,
2560,94.5898707639426,20971520,9.93409226131462e-05,2.4442296028137207,,
2640,96.93160840123892,21626880,9.929132889281127e-05,2.4813780784606934,,
2720,99.2653743699193,22282240,9.92399511242068e-05,2.3421223163604736,,
2800,101.59878044575453,22937600,9.91867913768218e-05,2.5298011302948,,
2880,103.93219149112701,23592960,9.913185179192317e-05,2.356980323791504,,
2960,106.2654908914119,24248320,9.907513458246934e-05,2.2792582511901855,,
3040,108.572584124282,24903680,9.901664203302126e-05,2.4693098068237305,,
3120,110.87471346184611,25559040,9.895637649965028e-05,2.393589973449707,,
3200,113.21677511557937,26214400,9.889434040984333e-05,2.4617362022399902,,
3200,113.29051214829087,26214400,9.889434040984333e-05,,2.3392586708068848,10.373543500905237
3280,115.60184335149825,26869760,9.883053626240502e-05,2.3018736839294434,,
3360,117.93539553508162,27525120,9.876496662735711e-05,2.295536518096924,,
3440,120.26970286481082,28180480,9.869763414583497e-05,2.366359233856201,,
3520,122.60117012821138,28835840,9.86285415299811e-05,2.3655872344970703,,
3600,124.94185171276331,29491200,9.855769156283603e-05,2.261634349822998,,
3680,127.27257541380823,30146560,9.848508709822608e-05,2.2487521171569824,,
3760,129.60441094823182,30801920,9.841073106064852e-05,2.158090114593506,,
3840,131.95005825906992,31457280,9.833462644515367e-05,2.180863380432129,,
3920,134.30042113922536,32112640,9.825677631722436e-05,2.1490721702575684,,
4000,136.65006249584258,32768000,9.817718381265239e-05,2.2599294185638428,,
4000,136.7237048894167,32768000,9.817718381265239e-05,,2.2425480127334594,9.41729613357362
4080,139.03137124329805,33423360,9.809585213741224e-05,2.2277588844299316,,
4160,141.3636629767716,34078720,9.801278456753194e-05,2.15388560295105,,
4240,143.71850135922432,34734080,9.792798444896107e-05,2.191375255584717,,
4320,146.0673555340618,35389440,9.784145519743607e-05,2.346790313720703,,
4400,148.41768198274076,36044800,9.775320029834254e-05,2.3035566806793213,,
4480,150.7666231673211,36700160,9.766322330657499e-05,2.1019484996795654,,
4560,153.11544941179454,37355520,9.757152784639347e-05,2.1669442653656006,,
4640,155.46666889078915,38010880,9.74781176112778e-05,2.190983295440674,,
4720,157.81407185271382,38666240,9.738299636377862e-05,2.1391587257385254,,
4800,160.16169597953558,39321600,9.728616793536588e-05,2.106666088104248,,
4800,160.23564677126706,39321600,9.728616793536588e-05,,2.152998757362366,8.61064094297993
4880,162.54073831811547,39976960,9.718763622627459e-05,2.0837666988372803,,
4960,164.8563152756542,40632320,9.70874052053476e-05,2.095939874649048,,
5040,167.1738489512354,41287680,9.698547890987583e-05,2.1213574409484863,,
5120,169.50586026534438,41943040,9.68818614454356e-05,2.1829018592834473,,
5200,171.83986886776984,42598400,9.677655698572327e-05,2.032517671585083,,
5280,174.19576087594032,43253760,9.666956977238711e-05,2.0904183387756348,,
5360,176.5539165791124,43909120,9.65609041148565e-05,2.0759596824645996,,
5440,178.9193281121552,44564480,9.645056439016825e-05,2.101923942565918,,
5520,181.26989497616887,45219840,9.633855504279041e-05,2.098330020904541,,
5600,183.62901224568486,45875200,9.622488058444312e-05,1.9746613502502441,,
5600,183.7027717921883,45875200,9.622488058444312e-05,,2.055930292606354,7.814103895427428
5680,186.02639329619706,46530560,9.610954559391703e-05,2.069779634475708,,
5760,188.35811272636056,47185920,9.599255471688873e-05,2.179490327835083,,
5840,190.70489046536386,47841280,9.587391266573367e-05,2.152271270751953,,
5920,193.05091628059745,48496640,9.575362421933639e-05,2.009920597076416,,
6000,195.40103656984866,49152000,9.563169422289797e-05,2.223315715789795,,
6080,197.75466093979776,49807360,9.550812758774086e-05,1.9361572265625,,
6160,200.10922984033823,50462720,9.538292929111113e-05,2.0832667350769043,,
6240,202.46646390855312,51118080,9.525610437597792e-05,2.0467405319213867,,
