step,wallclock_time,tokens_processed,lr,train_loss,val_loss,val_perplexity
80,2.3782183416187763,655360,0.002,3.534794330596924,,
160,4.738201687112451,1310720,0.004,3.071476936340332,,
240,7.05908140167594,1966080,0.006,2.9800713062286377,,
320,9.353511082008481,2621440,0.008,2.944262981414795,,
400,11.581357384100556,3276800,0.010000000000000002,3.053959369659424,,
480,13.860403828322887,3932160,0.009999909370328079,2.9700262546539307,,
560,16.18904290162027,4587520,0.009999637484962867,2.910268783569336,,
640,18.52507619187236,5242880,0.009999184354855868,3.0093917846679688,,
720,20.87483312934637,5898240,0.009998549998259092,2.925502300262451,,
800,23.221453784033656,6553600,0.009997734440724333,2.895820140838623,,
800,23.2962239459157,6553600,0.009997734440724333,,2.879462242126465,17.804695989284106
880,25.62593382038176,7208960,0.009996737715102132,2.834864616394043,,
960,27.979878555983305,7864320,0.009995559861540448,2.7252535820007324,,
1040,30.327795088291168,8519680,0.009994200927483054,2.8713693618774414,,
1120,32.674438865855336,9175040,0.00999266096766761,2.7598252296447754,,
1200,35.01795685850084,9830400,0.00999094004412348,2.7242534160614014,,
1280,37.36404326930642,10485760,0.00998903822616921,2.85660982131958,,
1360,39.656447706744075,11141120,0.009986955590409751,2.6983485221862793,,
1440,41.99550025910139,11796480,0.009984692220733365,2.5968241691589355,,
1520,44.2890902236104,12451840,0.009982248208308255,2.620047092437744,,
1600,46.50148105248809,13107200,0.009979623651578881,2.589531660079956,,
1600,46.57458547875285,13107200,0.009979623651578881,,2.618107223510742,13.709749519717828
1680,48.78714341297746,13762560,0.009976818656262012,2.515711784362793,,
1760,51.06731428578496,14417920,0.009973833335342446,2.6160995960235596,,
1840,53.418702971190214,15073280,0.009970667809068478,2.569876194000244,,
1920,55.75047018006444,15728640,0.00996732220494704,2.4441795349121094,,
2000,58.063418336212635,16384000,0.00996379665773858,2.4804329872131348,,
2080,60.38979267887771,17039360,0.009960091309451625,2.3383591175079346,,
2160,62.719575848430395,17694720,0.009956206309337069,2.366114854812622,,
2240,65.04752864316106,18350080,0.009952141813882143,2.3371195793151855,,
2320,67.3884640019387,19005440,0.009947897986804132,2.3314409255981445,,
2400,69.69663993641734,19660800,0.009943474999043776,2.3386874198913574,,
2400,69.77065344713628,19660800,0.009943474999043776,,2.2963844537734985,9.938185450707213
2480,72.0962391346693,20316160,0.009938873028758375,2.2568626403808594,,
2560,74.4363602604717,20971520,0.009934092261314618,2.340005397796631,,
2640,76.76251299865544,21626880,0.009929132889281128,2.2815332412719727,,
2720,79.05549556389451,22282240,0.009923995112420682,2.27730131149292,,
2800,81.38239673152566,22937600,0.009918679137682181,2.2104289531707764,,
2880,83.71063274331391,23592960,0.009913185179192315,2.262089729309082,,
2960,86.05423826351762,24248320,0.009907513458246933,2.162951946258545,,
3040,88.39353848993778,24903680,0.009901664203302126,2.183063507080078,,
3120,90.7346527595073,25559040,0.009895637649965029,2.1608004570007324,,
3200,93.07599155791104,26214400,0.009889434040984333,2.154155731201172,,
3200,93.15016858279705,26214400,0.009889434040984333,,2.129560112953186,8.411166034550696
3280,95.48809826001525,26869760,0.009883053626240503,2.234506607055664,,
3360,97.83423608355224,27525120,0.009876496662735712,2.102881669998169,,
3440,100.18888948298991,28180480,0.009869763414583496,2.0908327102661133,,
3520,102.54085913486779,28835840,0.009862854152998111,2.2209880352020264,,
3600,104.89218054525554,29491200,0.009855769156283604,2.2120392322540283,,
3680,107.2012030556798,30146560,0.00984850870982261,2.1441423892974854,,
3760,109.56104263477027,30801920,0.009841073106064854,2.2401390075683594,,
3840,111.91838419623673,31457280,0.009833462644515366,2.0932493209838867,,
3920,114.27163918502629,32112640,0.009825677631722436,2.111264228820801,,
4000,116.62839812412858,32768000,0.009817718381265241,2.117222547531128,,
4000,116.70379811525345,32768000,0.009817718381265241,,2.0622362732887267,7.863535176188425
4080,119.04741357080638,33423360,0.009809585213741225,2.0576586723327637,,
4160,121.39848706312478,34078720,0.009801278456753194,2.1260735988616943,,
4240,123.68525117076933,34734080,0.009792798444896108,2.20359468460083,,
4320,125.90543707087636,35389440,0.009784145519743607,2.008751392364502,,
4400,128.11605544760823,36044800,0.009775320029834254,2.014777183532715,,
4480,130.4420441761613,36700160,0.009766322330657499,1.9848999977111816,,
4560,132.78590855933726,37355520,0.009757152784639348,1.9540443420410156,,
4640,135.0973170157522,38010880,0.009747811761127781,2.1269569396972656,,
4720,137.43118113465607,38666240,0.009738299636377862,2.001513957977295,,
