step,wallclock_time,tokens_processed,lr,train_loss,val_loss,val_perplexity
80,2.4276115652173758,655360,0.0002,5.122907638549805,,
160,4.773888120427728,1310720,0.0004,3.6480202674865723,,
240,7.120172411203384,1966080,0.0006,3.2044262886047363,,
320,9.47008928656578,2621440,0.0008,2.9650449752807617,,
400,11.831548996269703,3276800,0.001,2.774883270263672,,
480,14.191341817378998,3932160,0.0009999909370328078,2.550095558166504,,
560,16.53267732448876,4587520,0.0009999637484962866,2.6112160682678223,,
640,18.88727366551757,5242880,0.0009999184354855866,2.2982985973358154,,
720,21.24293142184615,5898240,0.000999854999825909,2.358473062515259,,
800,23.562254656106234,6553600,0.0009997734440724334,2.32098126411438,,
800,23.635664092376828,6553600,0.0009997734440724334,,2.3018259048461913,9.992410999625529
880,25.976912887766957,7208960,0.000999673771510213,2.2954001426696777,,
960,28.315751809626818,7864320,0.0009995559861540448,2.2698447704315186,,
1040,30.653270918875933,8519680,0.0009994200927483051,2.2389187812805176,,
1120,33.01016716659069,9175040,0.000999266096766761,2.0826611518859863,,
1200,35.32283884473145,9830400,0.000999094004412348,2.0291762351989746,,
1280,37.63002399727702,10485760,0.0009989038226169207,2.0584568977355957,,
1360,39.96928868070245,11141120,0.0009986955590409747,2.1023354530334473,,
1440,42.28534688428044,11796480,0.0009984692220733362,2.0880303382873535,,
1520,44.54958760179579,12451840,0.0009982248208308252,2.077181577682495,,
1600,46.8765061981976,13107200,0.0009979623651578881,2.048938751220703,,
1600,46.9502667337656,13107200,0.0009979623651578881,,2.017055070400238,7.516157753844759
1680,49.27704104967415,13762560,0.0009976818656262012,2.0260884761810303,,
1760,51.64072658121586,14417920,0.0009973833335342446,1.991929531097412,,
1840,53.98798272572458,15073280,0.0009970667809068474,1.889647364616394,,
1920,56.331438306719065,15728640,0.0009967322204947038,1.9481700658798218,,
2000,58.682032538577914,16384000,0.0009963796657738578,2.126333713531494,,
2080,61.03459838218987,17039360,0.0009960091309451624,1.984816551208496,,
2160,63.39043845050037,17694720,0.0009956206309337066,1.9391379356384277,,
