step,wallclock_time,tokens_processed,lr,train_loss,val_loss,val_perplexity
10,2.0538512766361237,655360,2e-05,9.14474868774414,,
20,4.078700810670853,1310720,4e-05,8.786872863769531,,
30,6.10324515029788,1966080,6e-05,8.234628677368164,,
40,8.125565312802792,2621440,8e-05,7.660683631896973,,
50,10.14859158731997,3276800,0.0001,7.065186500549316,,
60,12.169189626350999,3932160,9.999909370328079e-05,6.48030948638916,,
70,14.188793690875173,4587520,9.999637484962868e-05,5.963956356048584,,
80,16.208120552822948,5242880,9.999184354855867e-05,5.552202224731445,,
90,18.22667715884745,5898240,9.998549998259092e-05,5.167740345001221,,
100,20.234898138791323,6553600,9.997734440724333e-05,4.943307876586914,,
100,20.839634530246258,6553600,9.997734440724333e-05,,4.895324659347534,133.66339464149493
110,22.847902718931437,7208960,9.996737715102132e-05,4.707318305969238,,
120,24.855306265875697,7864320,9.995559861540448e-05,4.511374473571777,,
130,26.863033337518573,8519680,9.994200927483052e-05,4.357494354248047,,
140,28.87023184262216,9175040,9.99266096766761e-05,4.238404273986816,,
150,30.876456320285797,9830400,9.99094004412348e-05,4.099208354949951,,
160,32.88370002806187,10485760,9.989038226169209e-05,3.984919548034668,,
170,34.89163296855986,11141120,9.98695559040975e-05,3.8621180057525635,,
180,36.90198677778244,11796480,9.984692220733363e-05,3.8137922286987305,,
190,38.91172553785145,12451840,9.982248208308253e-05,3.756056785583496,,
200,40.918445967137814,13107200,9.979623651578881e-05,3.664597511291504,,
200,41.52243705652654,13107200,9.979623651578881e-05,,3.6639206171035767,39.014002381057104
210,43.53044519945979,13762560,9.976818656262011e-05,3.605604648590088,,
220,45.53805387020111,14417920,9.973833335342447e-05,3.5350747108459473,,
230,47.54350561462343,15073280,9.970667809068476e-05,3.488140106201172,,
240,49.55114406719804,15728640,9.96732220494704e-05,3.4654526710510254,,
250,51.55706855468452,16384000,9.963796657738579e-05,3.3883254528045654,,
260,53.56386714614928,17039360,9.960091309451627e-05,3.3951358795166016,,
270,55.56993138603866,17694720,9.956206309337068e-05,3.3429274559020996,,
280,57.57694460824132,18350080,9.952141813882142e-05,3.338291645050049,,
290,59.58293448202312,19005440,9.94789798680413e-05,3.3134758472442627,,
300,61.58962549827993,19660800,9.943474999043775e-05,3.226444959640503,,
300,62.19439135119319,19660800,9.943474999043775e-05,,3.2186821937561034,24.995159690829915
310,64.19974236004055,20316160,9.938873028758373e-05,3.1859445571899414,,
320,66.20481248758733,20971520,9.93409226131462e-05,3.221806049346924,,
330,68.20907794684172,21626880,9.929132889281127e-05,3.1861610412597656,,
340,70.21425118669868,22282240,9.92399511242068e-05,3.1516339778900146,,
350,72.21841358020902,22937600,9.91867913768218e-05,3.1103720664978027,,
360,74.22047363035381,23592960,9.913185179192317e-05,3.0535049438476562,,
370,76.22579429112375,24248320,9.907513458246934e-05,3.076005697250366,,
380,78.23172252811491,24903680,9.901664203302126e-05,3.028643846511841,,
390,80.23845341801643,25559040,9.895637649965028e-05,3.0508928298950195,,
400,82.24356443434954,26214400,9.889434040984333e-05,2.996635913848877,,
400,82.84816373884678,26214400,9.889434040984333e-05,,3.0011614322662354,20.108878466041595
410,84.85030587390065,26869760,9.883053626240502e-05,2.967782735824585,,
420,86.8524892181158,27525120,9.876496662735711e-05,2.9880099296569824,,
430,88.85628189891577,28180480,9.869763414583497e-05,2.935279607772827,,
440,90.85902192257345,28835840,9.86285415299811e-05,2.9912068843841553,,
450,92.86200943402946,29491200,9.855769156283603e-05,2.9353766441345215,,
460,94.86680088751018,30146560,9.848508709822608e-05,2.948577642440796,,
470,96.87011224403977,30801920,9.841073106064852e-05,2.91174054145813,,
480,98.87338613159955,31457280,9.833462644515367e-05,2.862276554107666,,
490,100.87481331825256,32112640,9.825677631722436e-05,2.8930563926696777,,
500,102.8753343578428,32768000,9.817718381265239e-05,2.942568778991699,,
