step,wallclock_time,tokens_processed,lr,train_loss,val_loss,val_perplexity
40,2.1660534385591745,655360,5.9999999999999995e-05,8.024041175842285,,
80,4.319885168224573,1310720,0.00011999999999999999,5.910523414611816,,
120,6.4421515595167875,1966080,0.00017999999999999998,4.420689582824707,,
160,8.55039413459599,2621440,0.00023999999999999998,3.9089274406433105,,
200,10.655935604125261,3276800,0.0002999999999999999,3.552431583404541,,
240,12.762392679229379,3932160,0.0002999972811098423,3.22672176361084,,
280,14.86673391982913,4587520,0.0002999891245488859,3.068284511566162,,
320,16.97692727856338,5242880,0.0002999755306456759,2.9526050090789795,,
360,19.0768933724612,5898240,0.00029995649994777273,2.8158106803894043,,
400,21.180225985124707,6553600,0.00029993203322173,2.811941146850586,,
400,21.329944532364607,6553600,0.00029993203322173,,2.7917105913162232,16.308893806599016
440,23.429578203707933,7208960,0.00029990213145306393,2.6591429710388184,,
480,25.52916599996388,7864320,0.00029986679584621334,2.718146324157715,,
520,27.62881124392152,8519680,0.0002998260278244915,2.5336198806762695,,
560,29.727459713816643,9175040,0.00029977982903002824,2.5777597427368164,,
600,31.826408058404922,9830400,0.0002997282013237043,2.5143842697143555,,
640,33.92766884714365,10485760,0.0002996711467850762,2.5137062072753906,,
680,36.032397055998445,11141120,0.0002996086677122924,2.5232276916503906,,
720,38.130898397415876,11796480,0.00029954076662200085,2.472576141357422,,
760,40.228285018354654,12451840,0.0002994674462492475,2.5001657009124756,,
800,42.32548601925373,13107200,0.0002993887095473663,2.385829210281372,,
800,42.474737199023366,13107200,0.0002993887095473663,,2.3645792484283445,10.639561263483783
840,44.57260699570179,13762560,0.0002993045596878603,2.308661699295044,,
880,46.66998974047601,14417920,0.0002992150000602733,2.383086681365967,,
920,48.76732333377004,15073280,0.0002991200342720542,2.2200403213500977,,
960,50.86467230692506,15728640,0.00029901966614841115,2.2862091064453125,,
1000,52.96388384141028,16384000,0.0002989138997321573,2.2006688117980957,,
1040,55.06122915633023,17039360,0.0002988027392835487,2.300039529800415,,
1080,57.15800888463855,17694720,0.0002986861892801119,2.2049264907836914,,
1120,59.256023582071066,18350080,0.0002985642544164642,2.1346685886383057,,
1160,61.35272959806025,19005440,0.0002984369396041239,2.1512417793273926,,
1200,63.44973290339112,19660800,0.0002983042499713132,2.1862168312072754,,
1200,63.598591869696975,19660800,0.0002983042499713132,,2.1640161514282226,8.706032284503264
1240,65.69594362005591,20316160,0.00029816619086275116,2.2509310245513916,,
1280,67.79456354305148,20971520,0.0002980227678394385,2.0492982864379883,,
1320,69.89265934750438,21626880,0.00029787398667843377,2.1608011722564697,,
1360,71.9917024243623,22282240,0.0002977198533726203,2.165489435195923,,
1400,74.0895774923265,22937600,0.0002975603741304653,2.1339831352233887,,
1440,76.1871462315321,23592960,0.00029739555537576946,2.175961971282959,,
1480,78.28430772945285,24248320,0.00029722540374740793,2.059617280960083,,
1520,80.38174901530147,24903680,0.0002970499260990637,2.0816612243652344,,
1560,82.47861061245203,25559040,0.0002968691294989508,2.079115867614746,,
1600,84.5766033641994,26214400,0.0002966830212295299,2.030851364135742,,
1600,84.72616115771234,26214400,0.0002966830212295299,,2.0191450834274294,7.531883048776141
1640,86.82489098608494,26869760,0.00029649160878721494,1.9366064071655273,,
1680,88.92900021187961,27525120,0.0002962948998820713,2.09612774848938,,
1720,91.02558674663305,28180480,0.0002960929024375048,2.013781785964966,,
1760,93.12261617556214,28835840,0.0002958856245899432,2.007657527923584,,
1800,95.22033128328621,29491200,0.0002956730746885081,1.9470596313476562,,
1840,97.31709492765367,30146560,0.0002954552612946782,1.9940356016159058,,
1880,99.41452950797975,30801920,0.00029523219318194547,1.9423131942749023,,
1920,101.51552532427013,31457280,0.00029500387933546095,1.9857513904571533,,
1960,103.61625010706484,32112640,0.00029477032895167295,2.006070137023926,,
2000,105.72558078356087,32768000,0.00029453155143795715,2.010723829269409,,
2000,105.87521596439183,32768000,0.00029453155143795715,,1.9517631769180297,7.041091332086207
2040,107.97308353893459,33423360,0.00029428755641223666,1.9373562335968018,,
2080,110.07031743228436,34078720,0.0002940383537025957,1.90812087059021,,
2120,112.17195056565106,34734080,0.00029378395334688314,1.9510087966918945,,
2160,114.26882679574192,35389440,0.00029352436559230814,1.8750271797180176,,
2200,116.36971881613135,36044800,0.00029325960089502756,1.9515430927276611,,
2240,118.47373582981527,36700160,0.00029298966991972485,1.8962794542312622,,
2280,120.57216029800475,37355520,0.0002927145835391803,1.8089914321899414,,
2320,122.67236183956265,38010880,0.0002924343528338334,1.8993008136749268,,
2360,124.77136991545558,38666240,0.00029214898909133585,1.821739912033081,,
