step,wallclock_time,tokens_processed,lr,train_loss,val_loss,val_perplexity
20,2.0986668039113283,655360,2e-05,9.020812034606934,,
40,4.191540939733386,1310720,4e-05,8.331778526306152,,
60,6.277700778096914,1966080,6e-05,7.526791095733643,,
80,8.357540352270007,2621440,8e-05,6.5870866775512695,,
100,10.438054710626602,3276800,0.0001,5.712190628051758,,
120,12.515474764630198,3932160,9.999909370328079e-05,5.0448384284973145,,
140,14.57233083434403,4587520,9.999637484962868e-05,4.556745529174805,,
160,16.62981046177447,5242880,9.999184354855867e-05,4.306110382080078,,
180,18.6932444088161,5898240,9.998549998259092e-05,4.094932556152344,,
200,20.75004699267447,6553600,9.997734440724333e-05,3.839076519012451,,
200,21.054420543834567,6553600,9.997734440724333e-05,,3.8721364974975585,48.04492436609882
220,23.110248239710927,7208960,9.996737715102132e-05,3.7697176933288574,,
240,25.167039327323437,7864320,9.995559861540448e-05,3.6333415508270264,,
260,27.2252344712615,8519680,9.994200927483052e-05,3.580350637435913,,
280,29.278657879680395,9175040,9.99266096766761e-05,3.4729952812194824,,
300,31.335460163652897,9830400,9.99094004412348e-05,3.380207061767578,,
320,33.39004095830023,10485760,9.989038226169209e-05,3.310943603515625,,
340,35.44857279770076,11141120,9.98695559040975e-05,3.2919535636901855,,
360,37.50914237834513,11796480,9.984692220733363e-05,3.2238526344299316,,
380,39.5686160326004,12451840,9.982248208308253e-05,3.2016637325286865,,
400,41.62468245998025,13107200,9.979623651578881e-05,3.1882219314575195,,
400,41.92811765708029,13107200,9.979623651578881e-05,,3.133697986602783,22.95872380734536
420,43.982928693294525,13762560,9.976818656262011e-05,3.0630481243133545,,
440,46.03800062648952,14417920,9.973833335342447e-05,3.1123273372650146,,
460,48.09402227960527,15073280,9.970667809068476e-05,3.152026891708374,,
480,50.14922109991312,15728640,9.96732220494704e-05,3.01118540763855,,
500,52.20890901423991,16384000,9.963796657738579e-05,2.9937047958374023,,
520,54.26376570574939,17039360,9.960091309451627e-05,2.846102237701416,,
540,56.31928979605436,17694720,9.956206309337068e-05,2.983640670776367,,
560,58.37469086237252,18350080,9.952141813882142e-05,2.928403377532959,,
580,60.4324751123786,19005440,9.94789798680413e-05,2.932711601257324,,
600,62.48762671649456,19660800,9.943474999043775e-05,2.827357292175293,,
600,62.79007628001273,19660800,9.943474999043775e-05,,2.8597573041915894,17.45728961139536
620,64.84996346011758,20316160,9.938873028758373e-05,2.855532169342041,,
640,66.9069072585553,20971520,9.93409226131462e-05,2.7953717708587646,,
660,68.96108100004494,21626880,9.929132889281127e-05,2.7561328411102295,,
680,71.01502765156329,22282240,9.92399511242068e-05,2.823822021484375,,
700,73.06933069229126,22937600,9.91867913768218e-05,2.762539863586426,,
720,75.1236497592181,23592960,9.913185179192317e-05,2.718864917755127,,
740,77.1768413092941,24248320,9.907513458246934e-05,2.7515788078308105,,
760,79.2292998880148,24903680,9.901664203302126e-05,2.6913702487945557,,
780,81.28363980725408,25559040,9.895637649965028e-05,2.728975772857666,,
800,83.3388481233269,26214400,9.889434040984333e-05,2.6693294048309326,,
800,83.6435942966491,26214400,9.889434040984333e-05,,2.693754029273987,14.787082997928476
820,85.69834583625197,26869760,9.883053626240502e-05,2.618785858154297,,
840,87.75128812529147,27525120,9.876496662735711e-05,2.6580209732055664,,
860,89.80396618507802,28180480,9.869763414583497e-05,2.6300911903381348,,
880,91.85783082060516,28835840,9.86285415299811e-05,2.623589038848877,,
900,93.91518340818584,29491200,9.855769156283603e-05,2.69158935546875,,
920,95.9712981339544,30146560,9.848508709822608e-05,2.6177725791931152,,
940,98.02479754760861,30801920,9.841073106064852e-05,2.628201961517334,,
960,100.08769175037742,31457280,9.833462644515367e-05,2.5542430877685547,,
980,102.14188034459949,32112640,9.825677631722436e-05,2.5182437896728516,,
1000,104.19546875171363,32768000,9.817718381265239e-05,2.589582920074463,,
1000,104.49841468036175,32768000,9.817718381265239e-05,,2.564236116409302,12.990731172168136
1020,106.55086433328688,33423360,9.809585213741224e-05,2.5750770568847656,,
1040,108.60679526440799,34078720,9.801278456753194e-05,2.6308884620666504,,
1060,110.66189598292112,34734080,9.792798444896107e-05,2.631650447845459,,
1080,112.71509556099772,35389440,9.784145519743607e-05,2.5258469581604004,,
1100,114.77336399257183,36044800,9.775320029834254e-05,2.494786024093628,,
1120,116.82671638019383,36700160,9.766322330657499e-05,2.5623607635498047,,
1140,118.88029787316918,37355520,9.757152784639347e-05,2.466026544570923,,
1160,120.93373650498688,38010880,9.74781176112778e-05,2.528151512145996,,
1180,122.98965650051832,38666240,9.738299636377862e-05,2.505336284637451,,
1200,125.043540911749,39321600,9.728616793536588e-05,2.518104076385498,,
1200,125.34595569595695,39321600,9.728616793536588e-05,,2.4702525615692137,11.825433124468159
1220,127.40051165223122,39976960,9.718763622627459e-05,2.4943857192993164,,
